""	"Fgutabs"	"k_a"	"k_e"	"V_dist"
1	0.7833	1.0394	0.2555	57.004
1	0.7793	0.7994	0.2499	58.204
1	0.7753	0.5594	0.2443	59.404
1	0.7713	0.6806	0.2387	59.396
1	0.7673	0.9206	0.2331	58.196
1	0.7633	1.1606	0.2275	56.996
1	0.7593	1.4006	0.2219	55.796
1	0.7553	1.3594	0.2163	54.596
1	0.7513	1.1194	0.2107	53.396
1	0.7473	0.8794	0.2051	52.196
1	0.7433	0.6394	0.1995	50.996
1	0.7393	0.6006	0.1939	49.796
1	0.7353	0.8406	0.1883	48.596
1	0.7313	1.0806	0.1827	47.396
1	0.7273	1.3206	0.1771	46.196
1	0.7233	1.4394	0.1715	44.996
1	0.7193	1.1994	0.1659	43.796
1	0.7153	0.9594	0.1603	42.596
1	0.7113	0.7194	0.1547	41.396
1	0.7073	0.5206	0.1491	40.196
1	0.7033	0.7606	0.1435	38.996
1	0.6993	1.0006	0.1379	37.796
1	0.6953	1.2406	0.1323	36.596
1	0.6913	1.4806	0.1267	35.396
1	0.6873	1.2794	0.1211	34.196
1	0.6833	1.0394	0.1155	32.996
1	0.6793	0.7994	0.1099	31.796
1	0.6753	0.5594	0.1043	30.596
1	0.6713	0.6806	0.0987	29.396
1	0.6673	0.9206	0.0931	28.196
1	0.6633	1.1606	0.0875	26.996
1	0.6593	1.4006	0.0819	25.796
1	0.6553	1.3594	0.0763	24.596
1	0.6513	1.1194	0.0707	23.396
1	0.6473	0.8794	0.0651	22.196
1	0.6433	0.6394	0.0595	20.996
1	0.6393	0.6006	0.0539	20.204
1	0.6353	0.8406	0.0483	21.404
1	0.6313	1.0806	0.0427	22.604
1	0.6273	1.3206	0.0371	23.804
1	0.6233	1.4394	0.0315	25.004
1	0.6193	1.1994	0.0259	26.204
1	0.6153	0.9594	0.0203	27.404
1	0.6113	0.7194	0.0253	28.604
1	0.6073	0.5206	0.0309	29.804
1	0.6033	0.7606	0.0365	31.004
1	0.6007	1.0006	0.0421	32.204
1	0.6047	1.2406	0.0477	33.404
1	0.6087	1.4806	0.0533	34.604
1	0.6127	1.2794	0.0589	35.804
1	0.6167	1.0394	0.0645	37.004
1	0.6207	0.7994	0.0701	38.204
1	0.6247	0.5594	0.0757	39.404
1	0.6287	0.6806	0.0813	40.604
1	0.6327	0.9206	0.0869	41.804
1	0.6367	1.1606	0.0925	43.004
1	0.6407	1.4006	0.0981	44.204
1	0.6447	1.3594	0.1037	45.404
1	0.6487	1.1194	0.1093	46.604
1	0.6527	0.8794	0.1149	47.804
1	0.6567	0.6394	0.1205	49.004
1	0.6607	0.6006	0.1261	50.204
1	0.6647	0.8406	0.1317	51.404
1	0.6687	1.0806	0.1373	52.604
1	0.6727	1.3206	0.1429	53.804
1	0.6767	1.4394	0.1485	55.004
1	0.6807	1.1994	0.1541	56.204
1	0.6847	0.9594	0.1597	57.404
1	0.6671	0.9715	0.0516	36.402
1	0.6631	0.9515	0.0556	35.202
1	0.6591	0.9315	0.1228	34.002
1	0.6551	0.9115	0.19	32.802
1	0.6511	0.8915	0.2572	31.602
1	0.6471	0.8715	0.2756	30.402
1	0.6431	0.8515	0.2084	29.202
1	0.6391	0.8315	0.1412	28.002
1	0.6351	0.8115	0.074	26.802
1	0.6311	0.7915	0.0332	25.602
1	0.6271	0.7715	0.1004	24.402
1	0.6231	0.7515	0.1676	23.202
1	0.6191	0.7315	0.2348	22.002
1	0.6151	0.7115	0.298	20.802
1	0.6111	0.6915	0.2308	20.398
